"Age","Attrition","DailyRate","Department","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MonthlyIncome","NumCompaniesWorked","Over18","OverTime","PerformanceRating","StandardHours","TotalWorkingYears","TrainingTimesLastYear","YearsInCurrentRole"
53,"No",1282,"Research & Development",3,"Other",3,"Female",58,3,5,"Manager",3,19094,4,"Y","No",3,80,26,3,13
32,"Yes",1125,"Research & Development",1,"Life Sciences",2,"Female",72,1,1,"Research Scientist",1,3919,1,"Y","Yes",4,80,10,5,2
42,"No",691,"Sales",4,"Marketing",3,"Male",48,3,2,"Sales Executive",2,6825,0,"Y","No",3,80,10,2,7
44,"No",477,"Research & Development",4,"Medical",1,"Female",42,2,3,"Healthcare Representative",4,10248,3,"Y","No",3,80,24,4,6
46,"No",705,"Sales",4,"Marketing",2,"Female",83,3,5,"Manager",1,18947,3,"Y","No",3,80,22,2,2
33,"No",924,"Research & Development",3,"Medical",3,"Male",78,3,1,"Laboratory Technician",4,2496,4,"Y","No",3,80,7,3,1
44,"No",1459,"Research & Development",4,"Other",4,"Male",41,3,2,"Healthcare Representative",4,6465,2,"Y","Yes",3,80,9,5,2
30,"No",125,"Research & Development",2,"Medical",4,"Male",83,2,1,"Laboratory Technician",3,2206,1,"Y","No",3,80,10,5,0
39,"Yes",895,"Sales",3,"Technical Degree",4,"Male",56,3,2,"Sales Representative",4,2086,3,"Y","No",3,80,19,6,0
24,"Yes",813,"Research & Development",3,"Medical",2,"Male",61,3,1,"Research Scientist",4,2293,2,"Y","Yes",3,80,6,2,0
43,"No",1273,"Research & Development",2,"Medical",4,"Female",72,4,1,"Research Scientist",3,2645,1,"Y","No",3,80,6,3,3
50,"Yes",869,"Sales",2,"Marketing",1,"Male",86,2,1,"Sales Representative",3,2683,1,"Y","Yes",3,80,3,2,2
35,"No",890,"Sales",3,"Marketing",4,"Female",97,3,1,"Sales Representative",4,2014,1,"Y","No",3,80,2,3,2
36,"No",852,"Research & Development",4,"Life Sciences",2,"Female",82,2,1,"Research Scientist",1,3419,9,"Y","Yes",3,80,6,3,1
33,"No",1141,"Sales",3,"Life Sciences",3,"Female",42,4,2,"Sales Executive",1,5376,2,"Y","No",3,80,10,3,3
35,"No",464,"Research & Development",2,"Other",3,"Male",75,3,1,"Laboratory Technician",4,1951,1,"Y","No",3,80,1,3,0
27,"No",1240,"Research & Development",4,"Life Sciences",4,"Female",33,3,1,"Laboratory Technician",1,2341,1,"Y","No",3,80,1,6,0
26,"Yes",1357,"Research & Development",3,"Life Sciences",1,"Male",48,1,1,"Laboratory Technician",3,2293,1,"Y","No",3,80,1,2,0
27,"No",994,"Sales",3,"Life Sciences",4,"Male",37,3,3,"Sales Executive",3,8726,1,"Y","No",3,80,9,0,8
30,"No",721,"Research & Development",2,"Medical",3,"Female",58,3,2,"Laboratory Technician",4,4011,1,"Y","No",4,80,12,2,8
41,"Yes",1360,"Research & Development",3,"Technical Degree",2,"Female",49,3,5,"Research Director",3,19545,1,"Y","No",3,80,23,0,15
34,"No",1065,"Sales",4,"Marketing",2,"Male",72,3,2,"Sales Executive",3,4568,0,"Y","No",4,80,10,2,5
37,"No",408,"Research & Development",2,"Life Sciences",2,"Male",73,3,1,"Research Scientist",2,3022,4,"Y","No",4,80,8,1,0
46,"No",1211,"Sales",4,"Marketing",1,"Male",98,3,2,"Sales Executive",4,5772,4,"Y","Yes",4,80,14,4,6
35,"No",1229,"Research & Development",1,"Life Sciences",4,"Male",36,4,1,"Laboratory Technician",4,2269,1,"Y","No",3,80,1,2,0
48,"Yes",626,"Research & Development",2,"Life Sciences",1,"Male",98,2,3,"Laboratory Technician",3,5381,9,"Y","Yes",3,80,23,2,0
28,"Yes",1434,"Research & Development",4,"Technical Degree",3,"Male",50,3,1,"Laboratory Technician",3,3441,1,"Y","Yes",3,80,2,3,2
44,"No",1488,"Sales",5,"Marketing",2,"Female",75,3,2,"Sales Executive",1,5454,5,"Y","Yes",4,80,9,2,3
35,"No",1097,"Research & Development",2,"Medical",3,"Male",79,2,3,"Healthcare Representative",1,9884,2,"Y","Yes",3,80,10,3,0
26,"No",1443,"Sales",3,"Marketing",3,"Female",47,2,2,"Sales Executive",4,4157,7,"Y","Yes",3,80,5,2,2
33,"No",515,"Research & Development",2,"Life Sciences",1,"Female",98,3,3,"Research Director",4,13458,1,"Y","Yes",3,80,15,1,14
35,"No",853,"Sales",5,"Life Sciences",2,"Male",71,3,3,"Sales Executive",1,9069,1,"Y","No",4,80,9,3,8
35,"No",1142,"Research & Development",4,"Medical",3,"Female",30,3,1,"Laboratory Technician",1,4014,3,"Y","Yes",3,80,4,3,2
31,"No",655,"Research & Development",4,"Life Sciences",4,"Male",48,3,2,"Laboratory Technician",4,5915,3,"Y","No",4,80,10,3,7
37,"No",1115,"Research & Development",4,"Life Sciences",1,"Male",51,2,2,"Manufacturing Director",3,5993,1,"Y","No",3,80,7,2,5
32,"No",427,"Research & Development",3,"Medical",1,"Male",33,3,2,"Manufacturing Director",4,6162,1,"Y","Yes",4,80,9,3,8
38,"No",653,"Research & Development",5,"Life Sciences",4,"Female",50,3,2,"Laboratory Technician",4,2406,1,"Y","No",3,80,10,2,3
50,"No",989,"Research & Development",2,"Medical",2,"Female",43,2,5,"Research Director",3,18740,5,"Y","Yes",3,80,29,2,3
59,"No",1435,"Sales",3,"Life Sciences",1,"Female",99,3,3,"Sales Executive",1,7637,7,"Y","No",3,80,28,3,16
36,"No",1223,"Research & Development",3,"Technical Degree",3,"Female",59,3,3,"Healthcare Representative",3,10096,1,"Y","No",3,80,17,2,14
55,"No",836,"Research & Development",3,"Medical",4,"Female",33,3,4,"Manager",3,14756,2,"Y","Yes",3,80,21,2,0
36,"No",1195,"Research & Development",3,"Life Sciences",2,"Male",95,2,2,"Manufacturing Director",2,6499,1,"Y","No",3,80,6,3,5
45,"No",1339,"Research & Development",3,"Life Sciences",2,"Male",59,3,3,"Research Scientist",1,9724,2,"Y","No",3,80,25,2,0
35,"No",664,"Research & Development",3,"Medical",2,"Male",79,3,1,"Research Scientist",1,2194,4,"Y","No",3,80,5,2,2
36,"Yes",318,"Research & Development",3,"Medical",4,"Male",79,2,1,"Research Scientist",3,3388,0,"Y","Yes",3,80,2,0,0
59,"No",1225,"Sales",1,"Life Sciences",1,"Female",57,2,2,"Sales Executive",3,5473,7,"Y","No",3,80,20,2,3
29,"No",1328,"Research & Development",3,"Life Sciences",3,"Male",76,3,1,"Research Scientist",2,2703,0,"Y","No",4,80,6,3,4
31,"No",1082,"Research & Development",4,"Medical",3,"Male",87,3,1,"Research Scientist",2,2501,1,"Y","No",3,80,1,4,1
32,"No",548,"Research & Development",3,"Life Sciences",2,"Male",66,3,2,"Research Scientist",2,6220,1,"Y","No",3,80,10,3,4
36,"No",132,"Research & Development",3,"Life Sciences",2,"Female",55,4,1,"Laboratory Technician",4,3038,3,"Y","No",3,80,5,3,0
31,"No",746,"Research & Development",4,"Life Sciences",3,"Female",61,3,2,"Manufacturing Director",4,4424,1,"Y","No",4,80,11,2,7
35,"No",776,"Sales",4,"Marketing",3,"Male",32,2,2,"Sales Executive",1,4312,0,"Y","No",3,80,16,2,13
45,"No",193,"Research & Development",4,"Other",4,"Male",52,3,3,"Research Director",1,13245,4,"Y","Yes",3,80,17,3,0
37,"No",397,"Research & Development",4,"Medical",1,"Male",30,3,3,"Research Director",3,13664,4,"Y","No",3,80,16,3,2
46,"No",945,"Human Resources",2,"Medical",2,"Male",80,3,2,"Human Resources",2,5021,8,"Y","Yes",4,80,16,2,2
30,"No",852,"Research & Development",1,"Life Sciences",4,"Male",55,2,2,"Laboratory Technician",4,5126,1,"Y","Yes",3,80,10,1,8
35,"No",1214,"Research & Development",3,"Medical",2,"Male",30,2,1,"Research Scientist",3,2859,1,"Y","No",3,80,6,3,4
55,"No",111,"Sales",2,"Life Sciences",1,"Male",70,3,3,"Sales Executive",4,10239,3,"Y","No",3,80,24,4,0
38,"No",573,"Research & Development",3,"Medical",2,"Female",79,1,2,"Research Scientist",4,5329,7,"Y","Yes",3,80,17,3,11
34,"No",1153,"Research & Development",2,"Medical",1,"Male",94,3,2,"Manufacturing Director",2,4325,1,"Y","No",3,80,5,2,2
56,"No",1400,"Research & Development",3,"Life Sciences",4,"Male",49,1,3,"Manufacturing Director",4,7260,4,"Y","No",3,80,37,3,4
23,"No",541,"Sales",1,"Technical Degree",3,"Male",62,3,1,"Sales Representative",1,2322,3,"Y","No",3,80,3,3,0
51,"No",432,"Research & Development",4,"Life Sciences",4,"Male",96,3,1,"Laboratory Technician",4,2075,3,"Y","No",4,80,10,4,2
30,"No",288,"Research & Development",3,"Life Sciences",3,"Male",99,2,2,"Healthcare Representative",4,4152,1,"Y","No",3,80,11,3,10
46,"Yes",669,"Sales",2,"Medical",3,"Male",64,2,3,"Sales Executive",4,9619,1,"Y","No",3,80,9,3,8
40,"No",530,"Research & Development",4,"Life Sciences",3,"Male",78,2,4,"Healthcare Representative",2,13503,1,"Y","No",4,80,22,3,3
51,"No",632,"Sales",4,"Marketing",3,"Male",71,3,2,"Sales Executive",4,5441,0,"Y","Yes",4,80,11,2,7
30,"No",1334,"Sales",2,"Medical",3,"Female",63,2,2,"Sales Executive",2,5209,1,"Y","Yes",3,80,11,4,8
46,"No",638,"Research & Development",3,"Medical",3,"Male",40,2,3,"Healthcare Representative",1,10673,2,"Y","Yes",3,80,21,5,9
32,"No",1093,"Sales",4,"Medical",2,"Male",87,3,2,"Sales Executive",3,5010,1,"Y","No",3,80,12,0,8
54,"No",1217,"Research & Development",4,"Technical Degree",1,"Female",60,3,3,"Research Director",3,13549,9,"Y","No",3,80,16,5,3
24,"No",1353,"Sales",2,"Other",1,"Female",33,3,2,"Sales Executive",3,4999,0,"Y","No",4,80,4,2,2
28,"No",120,"Sales",3,"Medical",2,"Male",43,3,2,"Sales Executive",3,4221,1,"Y","No",3,80,5,3,4
58,"No",682,"Sales",4,"Medical",4,"Male",37,3,4,"Sales Executive",3,13872,0,"Y","No",3,80,38,1,10
44,"No",489,"Research & Development",3,"Medical",2,"Male",67,3,2,"Laboratory Technician",2,2042,4,"Y","No",3,80,17,3,2
37,"Yes",807,"Human Resources",4,"Human Resources",3,"Male",63,3,1,"Human Resources",1,2073,4,"Y","Yes",4,80,7,3,2
32,"No",827,"Research & Development",1,"Life Sciences",4,"Male",71,3,1,"Research Scientist",1,2956,1,"Y","No",3,80,1,2,0
20,"Yes",871,"Research & Development",3,"Life Sciences",4,"Female",66,2,1,"Laboratory Technician",4,2926,1,"Y","Yes",3,80,1,5,0
34,"No",665,"Research & Development",4,"Other",1,"Female",41,3,2,"Research Scientist",3,4809,1,"Y","No",3,80,16,3,13
37,"No",1040,"Research & Development",2,"Life Sciences",3,"Male",100,2,2,"Healthcare Representative",4,5163,5,"Y","No",3,80,17,2,0
59,"No",1420,"Human Resources",4,"Human Resources",3,"Female",32,2,5,"Manager",4,18844,9,"Y","No",4,80,30,3,2
50,"No",1115,"Research & Development",3,"Life Sciences",1,"Female",73,3,5,"Research Director",2,18172,3,"Y","Yes",3,80,28,1,3
25,"Yes",240,"Sales",3,"Marketing",3,"Male",46,2,2,"Sales Executive",3,5744,1,"Y","Yes",3,80,6,1,4
25,"No",1280,"Research & Development",1,"Medical",4,"Male",64,2,1,"Research Scientist",4,2889,1,"Y","No",3,80,2,2,2
22,"No",534,"Research & Development",3,"Medical",2,"Female",59,3,1,"Laboratory Technician",4,2871,1,"Y","No",3,80,1,5,0
51,"No",1456,"Research & Development",4,"Medical",1,"Female",30,2,3,"Healthcare Representative",1,7484,3,"Y","No",4,80,23,1,12
34,"Yes",658,"Research & Development",3,"Life Sciences",1,"Male",66,1,2,"Laboratory Technician",3,6074,1,"Y","Yes",4,80,9,3,7
54,"No",142,"Human Resources",3,"Human Resources",4,"Female",30,4,4,"Manager",4,17328,2,"Y","Yes",3,80,23,3,3
24,"No",1127,"Research & Development",1,"Life Sciences",2,"Male",52,3,1,"Laboratory Technician",3,2774,0,"Y","No",3,80,6,2,3
34,"No",1031,"Research & Development",4,"Life Sciences",3,"Female",45,2,2,"Research Scientist",2,4505,6,"Y","No",3,80,12,3,0
37,"No",1189,"Sales",3,"Life Sciences",3,"Male",87,3,3,"Sales Executive",4,7428,2,"Y","No",3,80,12,3,3
34,"No",1354,"Research & Development",3,"Medical",3,"Female",45,2,3,"Manager",1,11631,2,"Y","No",3,80,14,6,10
36,"No",1467,"Sales",2,"Technical Degree",2,"Female",92,3,3,"Sales Executive",4,9738,0,"Y","No",3,80,10,6,7
36,"No",922,"Research & Development",2,"Life Sciences",1,"Female",39,3,1,"Laboratory Technician",4,2835,5,"Y","No",4,80,7,2,0
43,"No",394,"Sales",2,"Life Sciences",3,"Male",92,3,4,"Manager",4,16959,1,"Y","Yes",3,80,25,3,12
30,"No",1312,"Research & Development",3,"Life Sciences",1,"Male",96,1,1,"Research Scientist",3,2613,1,"Y","No",4,80,10,2,7
33,"No",750,"Sales",2,"Marketing",3,"Male",95,3,2,"Sales Executive",2,6146,0,"Y","No",3,80,8,2,7
56,"Yes",441,"Research & Development",4,"Life Sciences",2,"Female",72,3,1,"Research Scientist",2,4963,9,"Y","Yes",3,80,7,2,4
51,"No",684,"Research & Development",3,"Life Sciences",1,"Male",51,3,5,"Research Director",3,19537,7,"Y","No",3,80,23,5,18
31,"Yes",249,"Sales",4,"Life Sciences",2,"Male",76,1,2,"Sales Executive",3,6172,4,"Y","Yes",3,80,12,3,7
26,"No",841,"Research & Development",3,"Other",3,"Female",46,2,1,"Research Scientist",2,2368,1,"Y","No",3,80,5,3,4
58,"Yes",147,"Research & Development",4,"Medical",4,"Female",94,3,3,"Healthcare Representative",4,10312,1,"Y","No",3,80,40,3,10
19,"Yes",528,"Sales",1,"Marketing",4,"Male",50,3,1,"Sales Representative",3,1675,1,"Y","Yes",3,80,0,2,0
22,"No",594,"Research & Development",1,"Technical Degree",3,"Male",100,3,1,"Laboratory Technician",4,2523,0,"Y","No",3,80,3,2,1
49,"No",470,"Research & Development",4,"Medical",3,"Female",96,3,2,"Manufacturing Director",1,6567,1,"Y","No",3,80,16,2,11
43,"No",957,"Research & Development",3,"Medical",2,"Female",72,4,1,"Research Scientist",3,4739,4,"Y","No",3,80,18,2,2
50,"No",809,"Sales",3,"Marketing",3,"Female",77,3,3,"Sales Executive",4,9208,4,"Y","No",3,80,16,3,2
31,"Yes",542,"Sales",3,"Life Sciences",2,"Female",71,1,2,"Sales Executive",3,4559,3,"Y","Yes",3,80,4,2,2
41,"No",802,"Sales",1,"Life Sciences",3,"Male",96,3,3,"Sales Executive",3,8189,3,"Y","Yes",3,80,12,2,7
26,"No",1355,"Human Resources",1,"Life Sciences",3,"Female",61,3,1,"Human Resources",3,2942,1,"Y","No",4,80,8,3,7
36,"No",216,"Research & Development",2,"Medical",2,"Male",84,3,2,"Manufacturing Director",2,4941,6,"Y","No",4,80,7,0,2
51,"Yes",1150,"Research & Development",4,"Life Sciences",1,"Male",53,1,3,"Manufacturing Director",4,10650,2,"Y","No",3,80,18,2,2
39,"No",1329,"Sales",4,"Life Sciences",4,"Female",47,2,2,"Sales Executive",3,5902,4,"Y","No",3,80,17,1,11
25,"No",959,"Sales",3,"Life Sciences",1,"Male",41,2,2,"Sales Executive",3,8639,2,"Y","No",3,80,6,3,2
30,"No",1240,"Human Resources",3,"Human Resources",3,"Male",48,3,2,"Human Resources",4,6347,0,"Y","Yes",3,80,12,2,9
32,"Yes",1033,"Research & Development",3,"Medical",1,"Female",41,3,1,"Laboratory Technician",1,4200,7,"Y","No",4,80,10,2,4
45,"No",1316,"Research & Development",3,"Medical",3,"Male",83,3,1,"Research Scientist",4,3452,5,"Y","No",3,80,9,2,5
38,"No",364,"Research & Development",5,"Technical Degree",4,"Female",32,3,2,"Research Scientist",3,4317,3,"Y","Yes",4,80,19,2,2
30,"No",438,"Research & Development",3,"Life Sciences",1,"Female",75,3,1,"Research Scientist",3,2632,1,"Y","No",3,80,5,4,4
32,"No",689,"Sales",2,"Medical",4,"Male",35,1,2,"Sales Executive",4,4668,0,"Y","No",3,80,9,2,7
30,"No",201,"Research & Development",3,"Technical Degree",4,"Female",84,3,1,"Research Scientist",1,3204,5,"Y","No",3,80,8,3,2
30,"No",1427,"Research & Development",1,"Medical",2,"Male",35,2,1,"Laboratory Technician",4,2720,0,"Y","No",3,80,6,3,3
41,"No",857,"Research & Development",3,"Life Sciences",4,"Male",91,2,4,"Manager",1,17181,4,"Y","No",3,80,21,2,6
41,"No",933,"Research & Development",4,"Life Sciences",3,"Male",94,3,1,"Laboratory Technician",1,2238,2,"Y","No",4,80,7,2,0
19,"No",1181,"Research & Development",1,"Medical",2,"Female",79,3,1,"Laboratory Technician",2,1483,1,"Y","No",3,80,1,3,0
40,"No",1395,"Research & Development",3,"Medical",2,"Female",54,3,2,"Research Scientist",2,5605,1,"Y","No",3,80,20,2,7
35,"No",662,"Sales",5,"Marketing",3,"Male",94,3,3,"Sales Executive",2,7295,1,"Y","No",3,80,10,3,8
53,"No",1436,"Sales",2,"Marketing",2,"Male",34,3,2,"Sales Representative",3,2306,2,"Y","Yes",4,80,13,3,7
45,"No",194,"Research & Development",3,"Life Sciences",2,"Male",60,3,2,"Laboratory Technician",2,2348,8,"Y","No",3,80,20,2,9
32,"No",967,"Sales",3,"Marketing",2,"Female",43,3,3,"Sales Executive",4,8998,1,"Y","No",3,80,9,2,8
29,"No",1496,"Research & Development",1,"Technical Degree",4,"Male",41,3,2,"Manufacturing Director",3,4319,1,"Y","No",3,80,10,1,7
51,"No",1169,"Research & Development",4,"Medical",2,"Male",34,2,2,"Manufacturing Director",3,6132,2,"Y","No",3,80,10,2,0
58,"No",1145,"Research & Development",3,"Medical",2,"Female",75,2,1,"Research Scientist",2,3346,4,"Y","Yes",4,80,9,3,0
40,"No",630,"Sales",4,"Marketing",3,"Male",67,2,3,"Sales Executive",4,10855,7,"Y","No",3,80,15,2,11
34,"No",303,"Sales",4,"Marketing",3,"Female",75,3,1,"Sales Representative",3,2231,6,"Y","No",3,80,6,3,3
22,"No",1256,"Research & Development",1,"Medical",3,"Male",80,3,1,"Research Scientist",4,2323,1,"Y","No",4,80,2,6,2
27,"No",691,"Research & Development",3,"Medical",4,"Male",57,3,1,"Research Scientist",2,2024,6,"Y","No",3,80,6,1,2
28,"No",440,"Research & Development",3,"Medical",3,"Male",42,3,1,"Research Scientist",4,2713,1,"Y","No",3,80,5,2,2
57,"No",334,"Research & Development",2,"Life Sciences",3,"Male",83,4,3,"Healthcare Representative",4,9439,3,"Y","Yes",3,80,12,2,3
27,"No",1450,"Research & Development",3,"Medical",3,"Male",79,2,1,"Research Scientist",3,2566,1,"Y","Yes",3,80,1,2,1
50,"No",1452,"Research & Development",3,"Life Sciences",3,"Female",53,3,5,"Manager",2,19926,3,"Y","No",3,80,21,5,4
41,"No",465,"Research & Development",3,"Life Sciences",1,"Male",56,3,1,"Research Scientist",3,2451,4,"Y","No",3,80,13,2,8
30,"No",1339,"Sales",3,"Life Sciences",2,"Female",41,3,3,"Sales Executive",4,9419,2,"Y","No",3,80,12,2,9
38,"No",702,"Sales",4,"Life Sciences",1,"Female",59,2,2,"Sales Executive",4,8686,4,"Y","No",4,80,12,2,3
32,"No",120,"Research & Development",5,"Life Sciences",3,"Male",43,3,1,"Research Scientist",3,3038,3,"Y","No",4,80,8,2,4
27,"No",1157,"Research & Development",3,"Technical Degree",3,"Male",51,3,1,"Research Scientist",2,3058,0,"Y","Yes",3,80,6,3,2
19,"Yes",602,"Sales",1,"Technical Degree",3,"Female",100,1,1,"Sales Representative",1,2325,0,"Y","No",4,80,1,5,0
36,"No",1480,"Research & Development",2,"Medical",4,"Male",30,3,1,"Laboratory Technician",2,2088,4,"Y","No",3,80,13,3,7
30,"No",111,"Research & Development",3,"Medical",3,"Male",66,3,2,"Laboratory Technician",1,3072,1,"Y","No",3,80,12,4,9
45,"No",1268,"Sales",2,"Life Sciences",3,"Female",30,3,2,"Sales Executive",1,5006,4,"Y","Yes",3,80,9,3,4
56,"No",713,"Research & Development",3,"Life Sciences",3,"Female",67,3,1,"Research Scientist",1,4257,4,"Y","Yes",3,80,19,3,2
33,"No",134,"Research & Development",3,"Life Sciences",3,"Male",90,3,1,"Research Scientist",4,2500,0,"Y","No",3,80,4,2,1
19,"Yes",303,"Research & Development",3,"Life Sciences",2,"Male",47,2,1,"Laboratory Technician",4,1102,1,"Y","No",4,80,1,3,0
46,"No",526,"Sales",2,"Marketing",2,"Female",92,3,3,"Sales Executive",1,10453,1,"Y","No",4,80,24,2,13
38,"No",1380,"Research & Development",2,"Life Sciences",3,"Female",75,3,1,"Laboratory Technician",4,2288,1,"Y","No",3,80,2,3,2
31,"No",140,"Research & Development",1,"Medical",3,"Female",95,3,1,"Research Scientist",4,3929,8,"Y","Yes",4,80,7,0,2
34,"No",629,"Research & Development",2,"Medical",4,"Female",95,3,1,"Research Scientist",2,2311,2,"Y","No",3,80,9,3,2
41,"Yes",1356,"Sales",2,"Marketing",2,"Female",70,3,1,"Sales Representative",2,3140,1,"Y","Yes",4,80,4,5,3
50,"No",328,"Research & Development",3,"Medical",3,"Male",86,2,1,"Laboratory Technician",3,3690,2,"Y","No",3,80,5,2,2
53,"No",1084,"Research & Development",2,"Medical",4,"Female",57,4,2,"Manufacturing Director",1,4450,1,"Y","No",3,80,5,3,2
33,"No",931,"Research & Development",3,"Medical",4,"Female",72,3,1,"Research Scientist",2,2756,1,"Y","No",3,80,8,5,7
40,"No",989,"Research & Development",1,"Medical",4,"Female",46,3,5,"Manager",3,19033,1,"Y","No",3,80,21,2,8
55,"No",692,"Research & Development",4,"Medical",3,"Male",61,4,5,"Research Director",2,18722,8,"Y","No",3,80,36,3,15
34,"No",1069,"Research & Development",1,"Life Sciences",4,"Male",45,2,2,"Manufacturing Director",3,9547,1,"Y","No",3,80,10,2,9
51,"No",313,"Research & Development",3,"Medical",4,"Female",98,3,4,"Healthcare Representative",2,13734,3,"Y","No",3,80,21,6,7
52,"No",699,"Research & Development",4,"Life Sciences",3,"Male",65,2,5,"Manager",3,19999,0,"Y","No",3,80,34,5,18
27,"No",894,"Research & Development",3,"Medical",4,"Female",99,3,1,"Research Scientist",2,2279,1,"Y","No",3,80,7,2,7
35,"Yes",556,"Research & Development",2,"Life Sciences",2,"Male",50,2,2,"Manufacturing Director",3,5916,3,"Y","Yes",3,80,8,1,0
43,"No",1344,"Research & Development",3,"Medical",4,"Male",37,4,1,"Research Scientist",4,2089,4,"Y","No",3,80,7,3,4
45,"No",1195,"Research & Development",2,"Medical",1,"Male",65,2,4,"Manager",4,16792,9,"Y","No",4,80,22,1,8
37,"No",290,"Research & Development",3,"Life Sciences",2,"Male",65,4,1,"Research Scientist",1,3564,1,"Y","Yes",3,80,8,3,7
35,"No",138,"Research & Development",3,"Medical",2,"Female",37,3,2,"Laboratory Technician",2,4425,5,"Y","No",3,80,10,5,2
42,"No",926,"Research & Development",2,"Medical",3,"Female",36,3,2,"Manufacturing Director",3,5265,2,"Y","No",3,80,11,5,3
38,"No",1261,"Research & Development",4,"Life Sciences",4,"Male",88,3,2,"Manufacturing Director",3,6553,9,"Y","No",3,80,14,3,0
38,"No",1084,"Research & Development",3,"Technical Degree",4,"Male",54,3,2,"Manufacturing Director",4,6261,3,"Y","No",3,80,9,3,7
27,"No",472,"Research & Development",1,"Technical Degree",3,"Male",60,2,2,"Manufacturing Director",1,4298,5,"Y","No",3,80,6,1,2
49,"No",1002,"Research & Development",4,"Life Sciences",4,"Male",92,3,2,"Manufacturing Director",4,6804,1,"Y","Yes",3,80,7,0,7
34,"No",878,"Research & Development",4,"Medical",4,"Male",43,3,1,"Research Scientist",3,3815,1,"Y","Yes",3,80,5,4,3
40,"No",905,"Research & Development",2,"Medical",3,"Male",99,3,2,"Laboratory Technician",4,2741,8,"Y","Yes",3,80,15,2,2
